stage,match_no,group,home_team,away_team,p_pairing,p_home,p_draw,p_away,ci_home_lo,ci_home_hi,ci_draw_lo,ci_draw_hi,ci_away_lo,ci_away_hi,cal_home,cal_draw,cal_away
group,,A,Mexico,South Korea,1.0,0.5776,0.2773,0.1451,0.3139,0.8248,0.125,0.4119,0.0411,0.3387,0.5207,0.2536,0.2258
group,,A,Mexico,South Africa,1.0,0.7213,0.2082,0.0706,0.4522,0.9194,0.0636,0.3853,0.0125,0.205,0.7444,0.1819,0.0737
group,,A,Mexico,Czech Republic,1.0,0.6219,0.2449,0.1332,0.3374,0.8761,0.0947,0.3782,0.031,0.3445,0.5532,0.2349,0.2119
group,,A,South Korea,South Africa,1.0,0.4993,0.3064,0.1943,0.2311,0.7818,0.153,0.4323,0.0438,0.4431,0.651,0.228,0.121
group,,A,South Korea,Czech Republic,1.0,0.3667,0.2982,0.335,0.1319,0.6829,0.1689,0.3927,0.1129,0.6403,0.4119,0.2648,0.3233
group,,A,South Africa,Czech Republic,1.0,0.208,0.2838,0.5082,0.0571,0.4733,0.1416,0.404,0.2277,0.7997,0.2189,0.2553,0.5259
group,,B,Canada,Switzerland,1.0,0.2872,0.3201,0.3927,0.0962,0.5634,0.1821,0.4392,0.1415,0.6865,0.2668,0.2919,0.4413
group,,B,Canada,Qatar,1.0,0.8508,0.1202,0.0289,0.6048,0.9718,0.0249,0.2985,0.0033,0.1257,0.7785,0.1681,0.0534
group,,B,Canada,Bosnia and Herzegovina,1.0,0.5668,0.2986,0.1346,0.2762,0.8298,0.1356,0.4381,0.0293,0.3408,0.57,0.2463,0.1836
group,,B,Switzerland,Qatar,1.0,0.9297,0.0558,0.0145,0.7146,0.9926,0.006,0.1994,0.0009,0.0832,0.8899,0.0894,0.0207
group,,B,Switzerland,Bosnia and Herzegovina,1.0,0.6841,0.2121,0.1038,0.3715,0.9028,0.0668,0.351,0.0207,0.3089,0.716,0.1784,0.1055
group,,B,Qatar,Bosnia and Herzegovina,1.0,0.1128,0.238,0.6492,0.0215,0.3261,0.0916,0.3828,0.3384,0.8733,0.1507,0.2004,0.6489
group,,C,Brazil,Morocco,1.0,0.2919,0.3459,0.3622,0.107,0.584,0.2149,0.457,0.1498,0.6157,0.4382,0.321,0.2408
group,,C,Brazil,Scotland,1.0,0.5931,0.2225,0.1844,0.2699,0.8854,0.0776,0.3277,0.0418,0.4719,0.647,0.2447,0.1083
group,,C,Brazil,Haiti,1.0,0.87,0.0911,0.0389,0.5945,0.9846,0.0115,0.2517,0.0033,0.1739,0.8589,0.0895,0.0517
group,,C,Morocco,Scotland,1.0,0.5056,0.3382,0.1562,0.2592,0.7425,0.1938,0.4544,0.0429,0.3726,0.5602,0.2566,0.1831
group,,C,Morocco,Haiti,1.0,0.7524,0.1986,0.0491,0.4943,0.9254,0.0625,0.3691,0.0073,0.1649,0.7999,0.1314,0.0687
group,,C,Scotland,Haiti,1.0,0.6692,0.2074,0.1234,0.3561,0.914,0.061,0.3503,0.0216,0.3507,0.6798,0.2179,0.1023
group,,D,United States,Paraguay,1.0,0.2616,0.2886,0.4498,0.0733,0.5464,0.1429,0.3859,0.1901,0.7604,0.3136,0.2648,0.4216
group,,D,United States,Australia,1.0,0.3155,0.2948,0.3898,0.1036,0.6123,0.1678,0.3829,0.1572,0.6888,0.3947,0.3383,0.267
group,,D,United States,Turkey,1.0,0.258,0.2411,0.5009,0.0842,0.5512,0.1259,0.3282,0.219,0.7735,0.2376,0.2199,0.5425
group,,D,Paraguay,Australia,1.0,0.3582,0.3735,0.2683,0.1392,0.6661,0.2103,0.4861,0.0801,0.5542,0.4754,0.265,0.2595
group,,D,Paraguay,Turkey,1.0,0.3247,0.3274,0.3478,0.1136,0.6356,0.1867,0.4355,0.1159,0.6486,0.2644,0.2934,0.4422
group,,D,Australia,Turkey,1.0,0.2761,0.3213,0.4027,0.0904,0.5689,0.1798,0.4328,0.1538,0.6988,0.1711,0.2183,0.6106
group,,E,Germany,Ecuador,1.0,0.3137,0.3657,0.3207,0.1033,0.6204,0.2155,0.4767,0.1091,0.6011,0.3802,0.3529,0.2669
group,,E,Germany,Ivory Coast,1.0,0.4961,0.3037,0.2002,0.227,0.7827,0.1475,0.4289,0.05,0.4428,0.5556,0.2518,0.1926
group,,E,Germany,Curaçao,1.0,0.9544,0.0363,0.0093,0.7772,0.9965,0.0032,0.1701,0.0004,0.0629,0.8812,0.0771,0.0417
group,,E,Ecuador,Ivory Coast,1.0,0.3791,0.4482,0.1726,0.1723,0.6594,0.2575,0.5947,0.0517,0.3882,0.5115,0.2605,0.228
group,,E,Ecuador,Curaçao,1.0,0.8437,0.1343,0.0221,0.584,0.9744,0.0221,0.33,0.002,0.0922,0.8248,0.15,0.0251
group,,E,Ivory Coast,Curaçao,1.0,0.7703,0.1812,0.0484,0.513,0.9332,0.0549,0.3537,0.0074,0.1575,0.7972,0.1344,0.0684
group,,F,Netherlands,Japan,1.0,0.2405,0.3562,0.4033,0.0644,0.5503,0.1986,0.4652,0.1547,0.6835,0.362,0.3232,0.3148
